Date,Close
1/4/2021,30.03
1/5/2021,30.26
1/6/2021,32.15
1/7/2021,32.86
1/8/2021,32.53
1/11/2021,33.07
1/12/2021,33.66
1/13/2021,33.46
1/14/2021,33.99
1/15/2021,33.01
1/19/2021,32.77
1/20/2021,32.34
1/21/2021,31.77
1/22/2021,31.55
1/25/2021,31.16
1/26/2021,30.94
1/27/2021,29.83
1/28/2021,30.32
1/29/2021,29.65
2/1/2021,29.96
2/2/2021,31.03
2/3/2021,31.58
2/4/2021,32.5
2/5/2021,32.37
2/8/2021,33.09
2/9/2021,32.95
2/10/2021,32.98
2/11/2021,32.88
2/12/2021,33.37
2/16/2021,34.27
2/17/2021,34.41
2/18/2021,34.19
2/19/2021,34.54
2/22/2021,35.15
2/23/2021,35.52
2/24/2021,36.38
2/25/2021,35.93
2/26/2021,34.71
3/1/2021,35.79
3/2/2021,35.53
3/3/2021,36.42
3/4/2021,36.5
3/5/2021,36.93
3/8/2021,37.13
3/9/2021,36.32
3/10/2021,37.37
3/11/2021,37.24
3/12/2021,37.94
3/15/2021,37.75
3/16/2021,37.64
3/17/2021,37.95
3/18/2021,38.94
3/19/2021,38.53
3/22/2021,37.66
3/23/2021,36.9
3/24/2021,36.9
3/25/2021,37.66
3/26/2021,38.68
3/29/2021,38.31
3/30/2021,38.99
3/31/2021,38.69
4/1/2021,39.49
4/5/2021,39.8
4/6/2021,39.69
4/7/2021,40.05
4/8/2021,39.7
4/9/2021,39.99
4/12/2021,40.06
4/13/2021,39.32
4/14/2021,39.88
4/15/2021,38.74
4/16/2021,39.15
4/19/2021,39.17
4/20/2021,38.08
4/21/2021,38.72
4/22/2021,38.36
4/23/2021,39.18
4/26/2021,39.41
4/27/2021,39.88
4/28/2021,40.03
4/29/2021,41.11
4/30/2021,40.53
5/3/2021,40.56
5/4/2021,41
5/5/2021,41.39
5/6/2021,42.01
5/7/2021,42.18
5/10/2021,42.05
5/11/2021,41.57
5/12/2021,41.18
5/13/2021,41.84
5/14/2021,42.36
5/17/2021,42.74
5/18/2021,42.16
5/19/2021,41.97
5/20/2021,41.87
5/21/2021,42.4
5/24/2021,42.63
5/25/2021,42.01
5/26/2021,42.04
5/27/2021,42.55
5/28/2021,42.39
6/1/2021,42.92
