Date,Close
1/4/2021,68.33
1/5/2021,69.49
1/6/2021,73.68
1/7/2021,74.94
1/8/2021,75.25
1/11/2021,76.06
1/12/2021,75.8
1/13/2021,75.56
1/14/2021,76.47
1/15/2021,75.24
1/19/2021,74.99
1/20/2021,74.84
1/21/2021,74.7
1/22/2021,74.13
1/25/2021,72.38
1/26/2021,71.21
1/27/2021,68.42
1/28/2021,69.32
1/29/2021,67.05
2/1/2021,67.67
2/2/2021,70.95
2/3/2021,70.6
2/4/2021,72.29
2/5/2021,73.22
2/8/2021,74.23
2/9/2021,74.24
2/10/2021,74.33
2/11/2021,73.72
2/12/2021,74.61
2/16/2021,76.05
2/17/2021,75.45
2/18/2021,74.83
2/19/2021,76
2/22/2021,77.4
2/23/2021,77.5
2/24/2021,79.88
2/25/2021,78.43
2/26/2021,76.87
3/1/2021,79.16
3/2/2021,80.79
3/3/2021,82.06
3/4/2021,81.11
3/5/2021,80.87
3/8/2021,81.1
3/9/2021,80.85
3/10/2021,83.09
3/11/2021,83.25
3/12/2021,84.34
3/15/2021,83.86
3/16/2021,82.54
3/17/2021,83.86
3/18/2021,83.94
3/19/2021,82.94
3/22/2021,81.92
3/23/2021,79.12
3/24/2021,79.33
3/25/2021,80.13
3/26/2021,79.98
3/29/2021,77.88
3/30/2021,79.09
3/31/2021,77.66
4/1/2021,78.22
4/5/2021,78
4/6/2021,79.09
4/7/2021,79.04
4/8/2021,80.2
4/9/2021,80.72
4/12/2021,80.18
4/13/2021,79.53
4/14/2021,80.79
4/15/2021,80.82
4/16/2021,78.59
4/19/2021,80.03
4/20/2021,77.29
4/21/2021,79.25
4/22/2021,78.29
4/23/2021,80.95
4/26/2021,81.52
4/27/2021,81.96
4/28/2021,82.73
4/29/2021,83.64
4/30/2021,82.55
5/3/2021,82.46
5/4/2021,82.64
5/5/2021,84.51
5/6/2021,86.83
5/7/2021,87.7
5/10/2021,86.47
5/11/2021,84.92
5/12/2021,83.68
5/13/2021,84.86
5/14/2021,87.35
5/17/2021,88.09
5/18/2021,86.97
5/19/2021,86.05
5/20/2021,86.47
5/21/2021,88.34
5/24/2021,89.69
5/25/2021,88.86
5/26/2021,89.35
5/27/2021,90.3
5/28/2021,90.95
6/1/2021,92.11
