Date,Close
1/4/2021,81.87
1/5/2021,83.1
1/6/2021,84.35
1/7/2021,85.2
1/8/2021,84.96
1/11/2021,84.4
1/12/2021,85.31
1/13/2021,85.44
1/14/2021,85.58
1/15/2021,85.06
1/19/2021,84.67
1/20/2021,85.44
1/21/2021,85.33
1/22/2021,84.3
1/25/2021,83.4
1/26/2021,83.46
1/27/2021,81.33
1/28/2021,82.13
1/29/2021,80.87
2/1/2021,81.27
2/2/2021,82.47
2/3/2021,82.51
2/4/2021,82.87
2/5/2021,83.52
2/8/2021,84.09
2/9/2021,84.26
2/10/2021,83.39
2/11/2021,83.29
2/12/2021,83.61
2/16/2021,83.85
2/17/2021,84.59
2/18/2021,86.07
2/19/2021,86.97
2/22/2021,87.91
2/23/2021,88.89
2/24/2021,89.35
2/25/2021,87.52
2/26/2021,85.09
3/1/2021,86.79
3/2/2021,86.85
3/3/2021,86.76
3/4/2021,86.78
3/5/2021,88.92
3/8/2021,90.43
3/9/2021,90.34
3/10/2021,91.87
3/11/2021,92.74
3/12/2021,93.37
3/15/2021,92.96
3/16/2021,93.23
3/17/2021,93.73
3/18/2021,93.52
3/19/2021,93.2
3/22/2021,92.62
3/23/2021,92.01
3/24/2021,92.42
3/25/2021,92.17
3/26/2021,93.11
3/29/2021,93.03
3/30/2021,92.71
3/31/2021,92.21
4/1/2021,92.48
4/5/2021,93.02
4/6/2021,92.65
4/7/2021,92.37
4/8/2021,92.88
4/9/2021,93.48
4/12/2021,93.62
4/13/2021,93.54
4/14/2021,93.77
4/15/2021,94.13
4/16/2021,94.71
4/19/2021,94.04
4/20/2021,92.46
4/21/2021,92.9
4/22/2021,92.59
4/23/2021,93.46
4/26/2021,94.19
4/27/2021,94.48
4/28/2021,95.56
4/29/2021,96.21
4/30/2021,95.4
5/3/2021,96.21
5/4/2021,95.81
5/5/2021,96.9
5/6/2021,98.32
5/7/2021,99.1
5/10/2021,99.53
5/11/2021,98.66
5/12/2021,98.86
5/13/2021,99.65
5/14/2021,100.55
5/17/2021,101.27
5/18/2021,101.89
5/19/2021,101.33
5/20/2021,101.97
5/21/2021,102.39
5/24/2021,102.45
5/25/2021,102.27
5/26/2021,102.69
5/27/2021,104.52
5/28/2021,103.99
6/1/2021,104.29
